Temperature,Pressure,Vibration,Usage_Hours,Mechanical_Stress,Material,Failure
84.96714153011233,187.2872095393189,3.9822579042691673,1044,59.015103114515185,Aluminum,0
78.61735698828815,186.39757674848437,4.541750805419521,5461,53.38743424231701,Titanium,0
86.47688538100692,146.13070482109956,4.103928408432286,9554,76.00743443494125,Composite,1
95.23029856408026,190.09729424895687,5.16562707041918,5384,42.05962803458316,Composite,1
77.65846625276664,221.98487245465236,6.79576779719287,6981,20.191836680496674,Composite,0
77.6586304305082,161.77303642769616,3.8434367642881933,8467,43.00506385144605,Titanium,1
95.79212815507391,231.45447953151776,6.501230746652621,9344,10.070297602659018,Titanium,1
87.67434729152909,214.63324463253014,3.8274918914796685,9609,60.53224661123295,Aluminum,1
75.30525614065049,177.97300034086885,3.7285591812546737,8040,49.952336682906854,Aluminum,1
85.42560043585965,195.75411087986458,6.22789192751482,9966,55.97459111020332,Composite,1
75.36582307187538,247.949654229231,6.382904567011425,433,58.364174345876854,Titanium,0
75.34270246429743,222.00643440517598,6.277114905143981,9556,65.5989256616174,Titanium,1
82.41962271566034,200.26350964694444,3.026303887672788,3045,11.135235732756001,Composite,0
60.86719755342202,192.86950049117047,4.301073532891924,4880,19.37002542903719,Composite,0
62.75082167486967,202.29827211354979,6.234482888004982,4756,38.668886893092925,Aluminum,0
74.37712470759027,184.6470932617309,5.062312760845842,2765,45.44153171104958,Aluminum,0
69.87168879665576,136.85751482842954,3.389460730703804,7231,52.99353689906768,Composite,0
83.14247332595274,261.26533731604195,5.687476908688162,5035,51.872106749181384,Titanium,1
70.91975924478788,204.65974997598204,3.9277891115127943,515,52.63441569023399,Aluminum,0
65.87696298664709,211.94441795367612,7.691787272588318,807,26.554420788987294,Composite,1
94.65648768921554,198.26276750369274,7.317262193627387,7888,38.077894048743055,Titanium,1
77.74223699513465,177.94649597826236,5.906146139533351,2784,45.16368969645574,Composite,0
80.67528204687923,194.42226557153688,7.04151005715466,7594,47.7395364497408,Titanium,1
65.75251813786544,152.01815713417068,5.097187025185072,3466,42.49337896317442,Aluminum,0
74.55617275474818,268.3125949415991,6.148156241562524,3603,53.81513190406899,Titanium,1
81.10922589709867,162.96464004732812,7.216580442953113,4542,32.881584836556044,Titanium,1
68.49006422577698,169.0410114845846,5.3682480226914695,6280,42.761209886123375,Composite,0
83.75698018345672,186.79222386840797,4.6172192427285745,2659,57.54464073827031,Titanium,0
73.99361310081196,238.64227174557132,2.4430670627343263,8237,53.06688334426107,Aluminum,1
77.08306250206724,200.4352699778796,4.875299711417759,4071,44.39941041058177,Composite,0
73.98293387770603,162.91592611908612,6.235134776843467,3057,44.739866005416985,Composite,0
98.52278184508938,237.63015082272017,6.418450141351444,7016,42.85879244340607,Composite,1
79.86502775262066,221.93001880356445,5.756547598577614,1829,44.974402859271436,Composite,0
69.422890710441,216.15304871649357,4.18805135755664,9333,42.44296033292903,Composite,1
88.22544912103189,221.4720272351252,2.034767646578614,126,44.533914504110996,Composite,0
67.79156350028978,271.83085701747353,4.257177352992898,2683,54.43551238442884,Composite,1
82.08863595004756,265.55284685108336,4.543482693419072,9344,54.12273857747412,Aluminum,1
60.403298761202244,179.39853970990114,4.530606549214979,9966,30.306061332484003,Aluminum,1
66.71813951101569,248.71654978433457,5.927834535466887,3155,76.87645025018989,Composite,0
81.96861235869123,211.495045692767,7.97851461652226,6901,41.852628292191696,Titanium,1
87.3846657999541,214.9728744841325,5.18529380276164,1758,57.0331955505032,Composite,0
81.7136828118997,149.23187505070013,4.674902316265308,4051,33.92513399546337,Composite,0
78.8435171761176,194.8884270383541,4.611167280493861,7399,71.94013628269073,Composite,0
76.98896304410711,175.61529228990304,5.186577150361571,7556,58.07288144446888,Titanium,0
65.21478009632573,224.8417644467993,3.7575593594774013,4237,55.73708669188653,Aluminum,0
72.80155791605291,232.13241501208415,5.180297838119083,8031,47.31666961807392,Titanium,1
75.39361229040213,137.76540946951064,5.6762185044977,1814,22.399111612823898,Titanium,0
90.57122226218915,199.33895407987188,5.314529095361732,3431,74.94232600899113,Titanium,1
83.43618289568461,233.65584514382755,5.686312901007172,3447,62.80535897467835,Titanium,0
62.36959844637266,194.39963113059665,5.650621414022803,2086,45.17781325136992,Composite,0
83.24083969394795,221.87190935007092,2.3421549766303347,3644,57.17880990203004,Aluminum,0
76.14917719583684,210.5349640288125,5.955305237593105,7079,30.340779725780653,Titanium,0
73.23077999694041,210.2498069585788,3.9934777315063195,801,21.40178956792977,Aluminum,0
86.11676288840867,191.86055065795108,3.356241255494063,7837,50.24670395272453,Composite,0
90.30999522495951,163.5025758759287,3.3433222582175057,9746,38.037214564961864,Composite,1
89.31280119116198,166.35409557724918,5.650312415708794,3886,42.76089404682213,Aluminum,0
71.60782476777362,221.28057543365952,4.66613760916272,7362,49.20955190489762,Composite,0
76.90787624148786,200.5837476655665,2.477046824021884,2571,32.190837410856844,Aluminum,0
83.31263431403563,195.84463266178327,5.717056722788425,5114,48.79714594474944,Titanium,0
89.75545127122359,187.28329873032942,2.840587803801759,6759,33.43776613627077,Composite,0
75.2082576215471,190.84433463557744,5.209732037777316,4360,65.18708512215834,Composite,0
78.14341023336183,231.4073538346442,5.357748388509581,5645,48.49493594323748,Aluminum,0
68.93665025993971,189.9426775439592,6.3283656225425675,3144,57.9133779582028,Composite,0
68.0379337591933,159.76805860095294,7.672527179700277,3983,23.411402440515463,Titanium,1
88.12525822394198,222.3095532662052,2.9529855111491874,3040,58.846364488011716,Composite,0
93.56240028570824,193.8537000840585,4.921289215905426,5261,72.45835536757063,Composite,1
79.27989878419666,200.9418759659833,4.585497057433674,1920,51.76416182057414,Composite,0
90.03532897892023,248.2273491919853,5.650624528941443,6984,57.83211663163852,Aluminum,1
83.61636025047635,199.3831832794848,5.323503156400428,2902,46.428731538834626,Titanium,0
73.54880245394875,208.67551019356176,4.47118063589507,2563,55.629314339373344,Titanium,0
83.61395605508415,164.63229526105025,4.338646717083717,3471,74.01773768935573,Composite,0
95.38036566465969,193.4099164294712,3.3253237172239287,7322,83.69386770357372,Composite,1
79.64173960890048,218.28578135625804,6.481792373609764,8627,54.75770843074777,Aluminum,1
95.64643655814007,153.33878798476275,5.688806272399294,5076,34.70478232758331,Titanium,1
53.80254895910255,206.02535279347128,6.376652296692706,5167,59.34960432238169,Composite,0
88.21902504375224,203.0237321793442,4.534405795286729,7601,31.43535831168999,Titanium,0
80.87047068238171,201.2386236676232,4.014746796958354,2888,40.63372285976524,Composite,0
77.00992649534132,231.1147669597473,3.3825274000561585,4225,42.347202531259896,Composite,0
80.91760776535503,210.03315544545563,5.538376375610989,3706,80.6176229905691,Aluminum,0
